id,answer,user_input,answer_category,input_category_guess,relation_tag,expected_range,score_0_100,reason,reviewer
593,轻松,盘古,感情,,cross_category_low,0-30,7,二者不搭界,
1144,解答,紧张,学习,,hard_negative_low,0-20,2,跨类无关（需人工复核）,
341,生物,地理,学科,,same_category_mid,60-70,50,关联度中等,
380,鹤立鸡群,画饼充饥,成语,,same_category_mid,60-70,30,均为成语，关联度低,
415,真空,轨道,宇宙,,same_category_mid,60-70,30,都是宇宙相关，但关联度不高,
543,纸上谈兵,拓印,典故,,cross_category_low,0-30,3,二者不搭界,
992,后来,海阔天空,歌曲,,related_mid,45-75,40,同类词（需人工复核）,
244,逛馆,展厅,旅游,,hint_like_high,70-90,60,联想度不够,
912,鞠躬,鞠躬,动作,,exact_match,98-100,100,完全一致,
940,化学,原子模型,学科,,near_synonym_high,80-92,70,答案提示词（需人工复核）,
998,冷淡,焦虑,情感,,hard_negative_low,0-20,20,跨类无关（需人工复核）,
565,生态,圣诞,学科,,cross_category_low,0-30,7,二者不搭界,
263,斗罗大陆,成长,动漫,,hint_like_high,70-90,50,后者范围较广,
603,螺蛳粉,冬至,美食,,cross_category_low,0-30,7,二者不搭界,
134,星球,表面坑,宇宙,,hint_like_high,70-90,50,表面坑包含在星球中但关联度不高,
182,狼王,强换,狼人杀,,hint_like_high,70-90,50,感觉后者根据前者分析的结果，而不是后者猜测前者,
860,猫咪,刘备,锚点词,,hard_negative_low,0-20,2,无关对照,
193,玄武,黑色,神话,,hint_like_high,70-90,50,玄武是四象之一，代表北方和水，虽然常被描绘为黑色，但并非其唯一特征，,
837,医生,大夫,锚点词,,near_synonym_high,99,99,职业近义,
125,咒术回战,法门,动漫,,hint_like_high,70-90,60,包含关系,
448,超新星,星系,宇宙,,same_category_mid,60-70,40,都是宇宙相关，但关联度不高,
607,羞涩,跳跃,情感,,cross_category_low,0-30,7,二者不搭界,
881,黔驴技穷,黔驴技穷,典故,,exact_match,98-100,100,完全一致,
945,背水一战,身后是河,典故,,near_synonym_high,80-92,90,答案提示词（需人工复核）,
642,负荆请罪,推挡,典故,,cross_category_low,0-30,7,二者不搭界,
24,悬梁刺股,悬梁刺股,典故,,same_answer_exact,95-100,100,完全一样,
71,冰川,冰川,风景,,same_answer_exact,95-100,100,完全一样,
451,一人之下,咒术回战,动漫,,same_category_mid,60-70,50,关联度中等,
846,跑步,奔跑,锚点词,,near_synonym_high,90,90,动作近义,
486,悬崖,古镇,风景,,same_category_mid,60-70,30,都是风景，但关联度不高,
303,打扫,装修,生活,,same_category_mid,60-70,20,二者关联度低,
785,咖喱,确认归岗,美食,,nonsense_low,0-20,2,毫无关联,
65,咒术回战,咒术回战,动漫,,same_answer_exact,95-100,100,完全一样,
367,升级,组队,游戏,,same_category_mid,60-70,60,关联度中等,
1094,喜羊羊,掩耳盗铃,动漫,,hard_negative_low,0-20,2,跨类无关（需人工复核）,
566,秃子头上,平和,歇后语,,cross_category_low,0-30,7,二者不搭界,
611,复盘,同舟共济,工作,,cross_category_low,0-30,7,二者不搭界,
1116,杨戬,儿童节,神话,,hard_negative_low,0-20,2,跨类无关（需人工复核）,
127,杯弓蛇影,恐慌由假,成语,,hint_like_high,70-90,70,意思接近,
327,卧冰求鲤,围魏救赵,典故,,same_category_mid,60-70,20,成语关联度不高,
105,狐妖小红娘,搞笑,动漫,,hint_like_high,70-90,30,关联度不高,
632,林俊杰,超新星,歌手,,cross_category_low,0-30,7,二者不搭界,
360,弹跳,盘腿,动作,,same_category_mid,60-70,20,二者不搭界,
926,昆曲,昆曲,文化,,exact_match,98-100,100,完全一致,
612,温馨,依恋,感情,,cross_category_low,0-30,7,二者不搭界,
474,背水一战,高山流水,典故,,same_category_mid,60-70,30,都是历史典故，但关联度不高,
825,哪吒,三太子,神话,,alias_synonym_high,85-95,90,角色称谓,
599,蒲松龄,联机,人物,,cross_category_low,0-30,7,二者不搭界,
62,张信哲,张信哲,歌手,,same_answer_exact,95-100,100,完全一样,
265,名侦探柯南,黑衣,动漫,,hint_like_high,70-90,50,后者范围较广,
73,麻辣烫,麻辣烫,美食,,same_answer_exact,95-100,100,完全一样,
324,出境,背包,旅游,,same_category_mid,60-70,20,关联度低,
747,范仲淹,秦始皇,人物,,nonsense_low,0-20,2,毫无关联,
649,一拳超人,守株待兔,动漫,,cross_category_low,0-30,7,二者不搭界,
526,鲛人,天文,神话,,cross_category_low,0-30,10,二者不搭界,
417,转机,免税,旅游,,same_category_mid,60-70,20,语义不同,
506,做题,记忆,学习,,same_category_mid,60-70,40,都是学习，但关联度不高,
864,火锅,诸葛亮,美食,,hard_negative_low,0-20,2,跨域无关,
117,历史,时序,学科,,hint_like_high,70-90,30,某种意义上的关联，但很难联想,
1058,魔术师,三明治,狼人杀,,hard_negative_low,0-20,2,跨类无关（需人工复核）,
935,泥菩萨过,身子湿软,歇后语,,near_synonym_high,80-92,70,答案提示词（需人工复核）,
879,女娲,女娲,神话,,exact_match,98-100,100,完全一致,
948,老马识途,经验领路,歇后语,,near_synonym_high,80-92,70,答案提示词（需人工复核）,
751,悬梁刺股,梯田,典故,,nonsense_low,0-20,2,毫无关联,
437,樱桃小丸子,魔女宅急便,动漫,,same_category_mid,60-70,50,关联度中等,
727,热切,断绝退路,情感,,nonsense_low,0-20,2,毫无关联,
167,数学,方程求解,学科,,hint_like_high,70-90,85,后者根据学科内容较容易联想到答案,
1071,陶瓷,推挡,文化,,hard_negative_low,0-20,2,跨类无关（需人工复核）,
495,首领,战绩,游戏,,same_category_mid,60-70,40,都是游戏，但关联度不高,
570,视角,烤鸭,游戏,,cross_category_low,0-30,7,二者不搭界,
620,夏至,欣慰,节日,,cross_category_low,0-30,7,二者不搭界,
1150,烤鸭,背包,美食,,hard_negative_low,0-20,2,跨类无关（需人工复核）,
283,炸鸡,烤鸭,美食,,same_category_mid,60-70,70,种类相同,
696,星座,造型表现,宇宙,,nonsense_low,0-20,2,毫无关联,
1076,视角,滑行,游戏,,hard_negative_low,0-20,2,跨类无关（需人工复核）,
779,洗碗,面霜,生活,,nonsense_low,0-20,2,毫无关联,
736,解答,看风景,学习,,nonsense_low,0-20,2,毫无关联,
366,猪八戒照镜,瓜田李下,歇后语,,same_category_mid,60-70,20,语义不同,
1095,俯冲,汇总,动作,,hard_negative_low,0-20,2,跨类无关（需人工复核）,
978,周杰伦,邓紫棋,歌手,,related_mid,45-75,40,同类词（需人工复核）,
790,斗破苍穹,热带,动漫,,nonsense_low,0-20,2,毫无关联,
217,文天祥,丹心,人物,,hint_like_high,70-90,90,人物著作中提到丹心，关联度较高,
1056,魔术师,三明治,狼人杀,,hard_negative_low,0-20,2,跨类无关（需人工复核）,
1013,夜游,压抑,旅游,,hard_negative_low,0-20,2,跨类无关（需人工复核）,
901,鲲鹏,鲲鹏,神话,,exact_match,98-100,100,完全一致,
398,石雕,篆刻,文化,,same_category_mid,60-70,40,都是文化，但关联度不高,
466,交付,评审,工作,,same_category_mid,60-70,40,范围接近，语义不同,
95,花木兰,巾帼英雄,人物,,hint_like_high,70-90,70,包含关系,
831,寿司,饭团,美食,,related_mid,60,60,相关但非严格同义,
90,预备役,待命,狼人杀,,hint_like_high,70-90,55,内容接近,
196,侧步,左右挪,动作,,hint_like_high,70-90,70,字面意思接近，联想度不高,
969,坦诚,真心话,情感,,near_synonym_high,80-92,90,答案提示词（需人工复核）,
854,学习,读书,锚点词,,related_mid,70,70,场景相关,
424,破釜沉舟,居安思危,典故,,same_category_mid,60-70,30,都是历史典故，但关联度不高,
211,排查,找问题,工作,,hint_like_high,70-90,90,联想度很高,
669,张良,悬崖,人物,,cross_category_low,0-30,7,二者不搭界,
264,徒步,一路走,旅游,,hint_like_high,70-90,70,关联度中等,
149,粥品,清淡,美食,,hint_like_high,70-90,50,关联度中等,
648,副本,汉堡,游戏,,cross_category_low,0-30,7,二者不搭界,
130,四面楚歌,无路可退,典故,,hint_like_high,70-90,80,环境相同,
