id,answer,user_input,answer_category,input_category_guess,relation_tag,expected_range,score_0_100,reason,reviewer
146,应龙,飞天,神话,,hint_like_high,70-90,80,关联度较高,
98,惊蛰,节气点,节日,,hint_like_high,70-90,70,节气点包含在节日中,
689,教程,运动,游戏,,nonsense_low,0-20,2,毫无关联,
593,轻松,盘古,感情,,cross_category_low,0-30,7,二者不搭界,
864,倒挂,倒挂,动作,,exact_match,98-100,100,完全一致,
303,打扫,装修,生活,,same_category_mid,60-70,20,二者关联度低,
62,张信哲,张信哲,歌手,,same_answer_exact,95-100,100,完全一样,
785,咖喱,确认归岗,美食,,nonsense_low,0-20,2,毫无关联,
117,历史,时序,学科,,hint_like_high,70-90,30,某种意义上的关联，但很难联想,
24,悬梁刺股,悬梁刺股,典故,,same_answer_exact,95-100,100,完全一样,
73,麻辣烫,麻辣烫,美食,,same_answer_exact,95-100,100,完全一样,
19,饺子,饺子,美食,,same_answer_exact,95-100,100,完全一样,
612,温馨,依恋,感情,,cross_category_low,0-30,7,二者不搭界,
701,李时珍,资治通鉴,人物,,nonsense_low,0-20,2,毫无关联,
861,按部就班,按部就班,成语,,exact_match,98-100,100,完全一致,
309,汤圆,饺子,美食,,same_category_mid,60-70,70,关联度较高,
937,端午,温馨,节日,,hard_negative_low,0-20,2,跨类无关（需人工复核）,
708,张信哲,立夏,歌手,,nonsense_low,0-20,2,毫无关联,
566,秃子头上,平和,歇后语,,cross_category_low,0-30,7,二者不搭界,
60,小年,小年,节日,,same_answer_exact,95-100,100,完全一样,
698,大暑,辅黄帝,节日,,nonsense_low,0-20,2,毫无关联,
515,通话,养宠,生活,,same_category_mid,60-70,20,语义不同,
134,星球,表面坑,宇宙,,hint_like_high,70-90,50,表面坑包含在星球中但关联度不高,
264,徒步,一路走,旅游,,hint_like_high,70-90,70,关联度中等,
854,起床,起床,生活,,exact_match,98-100,100,完全一致,
563,名侦探柯南,旋转,动漫,,cross_category_low,0-30,7,二者不搭界,
891,理发,小行星,生活,,hard_negative_low,0-20,2,跨类无关（需人工复核）,
766,狼骑士,无一落空,狼人杀,,nonsense_low,0-20,2,毫无关联,
553,林黛玉,挟天子,人物,,cross_category_low,0-30,7,二者不搭界,
790,斗破苍穹,热带,动漫,,nonsense_low,0-20,2,毫无关联,
71,冰川,冰川,风景,,same_answer_exact,95-100,100,完全一样,
495,首领,战绩,游戏,,same_category_mid,60-70,40,都是游戏，但关联度不高,
642,负荆请罪,推挡,典故,,cross_category_low,0-30,7,二者不搭界,
475,数学,生态,学科,,same_category_mid,60-70,40,都是学科，但关联度不高,
599,蒲松龄,联机,人物,,cross_category_low,0-30,7,二者不搭界,
417,转机,免税,旅游,,same_category_mid,60-70,20,语义不同,
193,玄武,黑色,神话,,hint_like_high,70-90,50,玄武是四象之一，代表北方和水，虽然常被描绘为黑色，但并非其唯一特征，,
874,昆曲,昆曲,文化,,exact_match,98-100,100,完全一致,
648,副本,汉堡,游戏,,cross_category_low,0-30,7,二者不搭界,
736,解答,看风景,学习,,nonsense_low,0-20,2,毫无关联,
902,百发百中,卧薪尝胆,成语,,hard_negative_low,0-20,2,跨类无关（需人工复核）,
923,古镇,禁锢者,风景,,hard_negative_low,0-20,2,跨类无关（需人工复核）,
127,杯弓蛇影,恐慌由假,成语,,hint_like_high,70-90,70,意思接近,
182,狼王,强换,狼人杀,,hint_like_high,70-90,50,感觉后者根据前者分析的结果，而不是后者猜测前者,
813,老师,教师,锚点词,,near_synonym_high,90,90,职业近义,
318,公会,手柄,游戏,,same_category_mid,60-70,30,关联度低,
130,四面楚歌,无路可退,典故,,hint_like_high,70-90,80,环境相同,
474,背水一战,高山流水,典故,,same_category_mid,60-70,30,都是历史典故，但关联度不高,
911,视角,滑行,游戏,,hard_negative_low,0-20,2,跨类无关（需人工复核）,
167,数学,方程求解,学科,,hint_like_high,70-90,85,后者根据学科内容较容易联想到答案,
677,小笼包,禁锢者,美食,,cross_category_low,0-30,7,二者不搭界,
526,鲛人,天文,神话,,cross_category_low,0-30,10,二者不搭界,
211,排查,找问题,工作,,hint_like_high,70-90,90,联想度很高,
632,林俊杰,超新星,歌手,,cross_category_low,0-30,7,二者不搭界,
448,超新星,星系,宇宙,,same_category_mid,60-70,40,都是宇宙相关，但关联度不高,
611,复盘,同舟共济,工作,,cross_category_low,0-30,7,二者不搭界,
125,咒术回战,法门,动漫,,hint_like_high,70-90,60,包含关系,
747,范仲淹,秦始皇,人物,,nonsense_low,0-20,2,毫无关联,
438,国庆,万圣节,节日,,same_category_mid,60-70,30,都是节日，但关联度不高,
244,逛馆,展厅,旅游,,hint_like_high,70-90,60,联想度不够,
65,咒术回战,咒术回战,动漫,,same_answer_exact,95-100,100,完全一样,
873,父亲节,父亲节,节日,,exact_match,98-100,100,完全一致,
453,灵笼,天空之城,动漫,,same_category_mid,60-70,50,关联度中等,
780,鹤立鸡群,看高处,成语,,nonsense_low,0-20,2,毫无关联,
360,弹跳,盘腿,动作,,same_category_mid,60-70,20,二者不搭界,
184,守口如瓶,不外传,成语,,hint_like_high,70-90,80,关联度较高,
21,法学,法学,学科,,same_answer_exact,95-100,100,完全一样,
719,月食,柔美唱腔,宇宙,,nonsense_low,0-20,2,毫无关联,
814,孤独,孤寂,感情,,near_synonym_high,90,90,情绪近义,
367,升级,组队,游戏,,same_category_mid,60-70,60,关联度中等,
265,名侦探柯南,黑衣,动漫,,hint_like_high,70-90,50,后者范围较广,
696,星座,造型表现,宇宙,,nonsense_low,0-20,2,毫无关联,
933,寿司,做实验,美食,,hard_negative_low,0-20,2,跨类无关（需人工复核）,
570,视角,烤鸭,游戏,,cross_category_low,0-30,7,二者不搭界,
794,柳宗元,叙事,人物,,nonsense_low,0-20,2,毫无关联,
263,斗罗大陆,成长,动漫,,hint_like_high,70-90,50,后者范围较广,
896,游戏王,地理,动漫,,hard_negative_low,0-20,2,跨类无关（需人工复核）,
90,预备役,待命,狼人杀,,hint_like_high,70-90,55,内容接近,
72,果汁,果汁,美食,,same_answer_exact,95-100,100,完全一样,
232,订房,确认日期,旅游,,hint_like_high,70-90,50,关联度中等,
675,租房,拍照,生活,,cross_category_low,0-30,7,二者不搭界,
217,文天祥,丹心,人物,,hint_like_high,70-90,90,人物著作中提到丹心，关联度较高,
802,小狗,狗,锚点词,,alias_synonym_high,88-96,90,口语近义,
93,斗罗大陆,武魂,动漫,,hint_like_high,70-90,70,都为动漫,
649,一拳超人,守株待兔,动漫,,cross_category_low,0-30,7,二者不搭界,
38,翻译,翻译,学习,,same_answer_exact,95-100,100,完全一样,
424,破釜沉舟,居安思危,典故,,same_category_mid,60-70,30,都是历史典故，但关联度不高,
380,鹤立鸡群,画饼充饥,成语,,same_category_mid,60-70,30,均为成语，关联度低,
11,销假,销假,工作,,same_answer_exact,95-100,100,完全一样,
506,做题,记忆,学习,,same_category_mid,60-70,40,都是学习，但关联度不高,
252,鲛,海底歌,神话,,hint_like_high,70-90,80,关联度较高,
347,流星雨,陨石,宇宙,,same_category_mid,60-70,60,关联度中等,
618,阅读,骑士,学习,,cross_category_low,0-30,7,二者不搭界,
105,狐妖小红娘,搞笑,动漫,,hint_like_high,70-90,30,关联度不高,
868,银河,银河,宇宙,,exact_match,98-100,100,完全一致,
415,真空,轨道,宇宙,,same_category_mid,60-70,30,都是宇宙相关，但关联度不高,
907,瞎子摸象,侧步,歇后语,,hard_negative_low,0-20,2,跨类无关（需人工复核）,
543,纸上谈兵,拓印,典故,,cross_category_low,0-30,3,二者不搭界,
13,释然,释然,感情,,same_answer_exact,95-100,100,完全一样,
430,起身,俯卧,动作,,same_category_mid,60-70,20,语义不同,
341,生物,地理,学科,,same_category_mid,60-70,50,关联度中等,
325,韩信,文天祥,人物,,same_category_mid,60-70,30,都是历史人物，但关联度不高,
99,皮影,幕后操偶,文化,,hint_like_high,70-90,80,较为接近,
559,立冬,后来,节日,,cross_category_low,0-30,7,二者不搭界,
673,父亲节,哑巴吃黄连,节日,,cross_category_low,0-30,7,二者不搭界,
163,土星,气体球,宇宙,,hint_like_high,70-90,60,后者范围大,
296,露营,拍景,旅游,,same_category_mid,60-70,30,词义关联度较低,
514,坐船,安检,旅游,,same_category_mid,60-70,40,都是旅游，但关联度不高,
620,夏至,欣慰,节日,,cross_category_low,0-30,7,二者不搭界,
848,云海,云海,风景,,exact_match,98-100,100,完全一致,
727,热切,断绝退路,情感,,nonsense_low,0-20,2,毫无关联,
366,猪八戒照镜,瓜田李下,歇后语,,same_category_mid,60-70,20,语义不同,
398,石雕,篆刻,文化,,same_category_mid,60-70,40,都是文化，但关联度不高,
