id,answer,user_input,answer_category,input_category_guess,relation_tag,expected_range,score_0_100,reason,reviewer
99,皮影,幕后操偶,文化,,hint_like_high,70-90,80,较为接近,
490,邮轮,看夜景,旅游,,same_category_mid,60-70,40,语义不同,
909,招聘,面试筛选,工作,,near_synonym_high,80-92,70,答案提示词（需人工复核）,
149,粥品,清淡,美食,,hint_like_high,70-90,50,关联度中等,
494,对牛弹琴,唇亡齿寒,成语,,same_category_mid,60-70,30,都是成语，但关联度不高,
677,小笼包,禁锢者,美食,,cross_category_low,0-30,7,二者不搭界,
289,柳宗元,关羽,人物,,same_category_mid,60-70,20,都为名人，二者关联度低,
661,京剧,风之谷,文化,,cross_category_low,0-30,7,二者不搭界,
504,斗罗大陆,死神,动漫,,same_category_mid,60-70,50,关联度中等,
1029,猫咪,你个der,,,hard_negative_low,0-12,10,人工精调：完全无关（反向）,manual_patch
972,林间,攻略,风景,,hard_negative_low,0-20,2,跨类无关（需人工复核）,
762,顺水推舟,全力冲,成语,,nonsense_low,0-20,2,毫无关联,
789,惆怅,防带走,感情,,nonsense_low,0-20,2,毫无关联,
211,排查,找问题,工作,,hint_like_high,70-90,90,联想度很高,
134,星球,表面坑,宇宙,,hint_like_high,70-90,50,表面坑包含在星球中但关联度不高,
228,熬夜,次日困,生活,,hint_like_high,70-90,70,二者有先后顺序,
813,手机,电话,锚点词,,related_mid,80,80,强相关,
893,兴奋,兴奋,感情,,exact_match,98-100,100,完全一致,
71,冰川,冰川,风景,,same_answer_exact,95-100,100,完全一样,
359,落座,踢踏,动作,,same_category_mid,60-70,20,二者不搭界,
255,俯卧,平躺反,动作,,hint_like_high,70-90,90,很接近,
567,晾晒,亡羊补牢,生活,,cross_category_low,0-30,7,二者不搭界,
238,豆花,勺舀,美食,,hint_like_high,70-90,50,后者为前者的动作行为,
244,逛馆,展厅,旅游,,hint_like_high,70-90,60,联想度不够,
674,薛之谦,满足,歌手,,cross_category_low,0-30,7,二者不搭界,
714,青花瓷,серд发紧,歌曲,,nonsense_low,0-20,2,毫无关联,
378,运动,通勤,生活,,same_category_mid,60-70,10,二者不搭界,
775,麒麟,道德经,神话,,nonsense_low,0-20,2,毫无关联,
951,饺子,馒头,美食,,related_mid,45-75,40,同类词（需人工复核）,
856,借刀杀人,借刀杀人,典故,,exact_match,98-100,100,完全一致,
914,海阔天空,摇滚,歌曲,,near_synonym_high,80-92,70,答案提示词（需人工复核）,
130,四面楚歌,无路可退,典故,,hint_like_high,70-90,80,环境相同,
705,进击的巨人,家常餐,动漫,,nonsense_low,0-20,2,毫无关联,
675,租房,拍照,生活,,cross_category_low,0-30,7,二者不搭界,
264,徒步,一路走,旅游,,hint_like_high,70-90,70,关联度中等,
11,销假,销假,工作,,same_answer_exact,95-100,100,完全一样,
842,女娲,女娲,神话,,exact_match,98-100,100,完全一致,
167,数学,方程求解,学科,,hint_like_high,70-90,85,后者根据学科内容较容易联想到答案,
125,咒术回战,法门,动漫,,hint_like_high,70-90,60,包含关系,
967,依恋,狼美人,情感,,hard_negative_low,0-20,2,跨类无关（需人工复核）,
556,守卫,午休,狼人杀,,cross_category_low,0-30,7,二者不搭界,
910,老马识途,经验领路,歇后语,,near_synonym_high,80-92,70,答案提示词（需人工复核）,
629,日出,玄鸟,风景,,cross_category_low,0-30,7,二者不搭界,
98,惊蛰,节气点,节日,,hint_like_high,70-90,70,节气点包含在节日中,
117,历史,时序,学科,,hint_like_high,70-90,30,某种意义上的关联，但很难联想,
801,狗狗,狗,锚点词,,alias_synonym_high,90-98,90,昵称与本词,
728,抬头,柜台,动作,,nonsense_low,0-20,2,毫无关联,
394,翻滚,抬头,动作,,same_category_mid,60-70,20,语义不同,
555,喜悦,煎饼,情感,,cross_category_low,0-30,7,二者不搭界,
915,顺水推舟,借势而行,成语,,near_synonym_high,80-92,80,答案提示词（需人工复核）,
105,狐妖小红娘,搞笑,动漫,,hint_like_high,70-90,30,关联度不高,
387,许嵩,邓紫棋,歌手,,same_category_mid,60-70,40,都是歌手，但关联度不高,
1005,烤鸭,背包,美食,,hard_negative_low,0-20,2,跨类无关（需人工复核）,
942,通灵师,骑士,狼人杀,,related_mid,45-75,70,同类词（需人工复核）,
95,花木兰,巾帼英雄,人物,,hint_like_high,70-90,70,包含关系,
296,露营,拍景,旅游,,same_category_mid,60-70,30,词义关联度较低,
854,释怀,释怀,情感,,exact_match,98-100,100,完全一致,
596,全职猎人,馄饨,动漫,,cross_category_low,0-30,7,二者不搭界,
535,妖精尾巴,星座,动漫,,cross_category_low,0-30,5,二者不搭界,
861,羞愧,羞愧,感情,,exact_match,98-100,100,完全一致,
252,鲛,海底歌,神话,,hint_like_high,70-90,80,关联度较高,
347,流星雨,陨石,宇宙,,same_category_mid,60-70,60,关联度中等,
331,驯熊师,白痴,狼人杀,,same_category_mid,60-70,70,关联度较高,
605,朗读,挤压,学习,,cross_category_low,0-30,7,二者不搭界,
711,父亲节,任务,节日,,nonsense_low,0-20,2,毫无关联,
686,害怕,起风了,感情,,nonsense_low,0-20,2,毫无关联,
958,卫星,烦躁,宇宙,,hard_negative_low,0-20,2,跨类无关（需人工复核）,
301,晴天,平凡之路,歌曲,,same_category_mid,60-70,20,都为歌曲，但联想度很低,
581,掉落,许嵩,游戏,,cross_category_low,0-30,7,二者不搭界,
939,女娲,玄女,神话,,related_mid,45-75,50,同类词（需人工复核）,
506,做题,记忆,学习,,same_category_mid,60-70,40,都是学习，但关联度不高,
859,滥竽充数,滥竽充数,成语,,exact_match,98-100,100,完全一致,
518,瞎子摸象,铁公鸡,歇后语,,same_category_mid,60-70,30,都是歇后语，但关联度不高,
317,云雾,茶园,风景,,same_category_mid,60-70,20,关联度低,
796,指鹿为马,伎俩耗尽,典故,,nonsense_low,0-20,2,毫无关联,
62,张信哲,张信哲,歌手,,same_answer_exact,95-100,100,完全一样,
690,借刀杀人,月饼,典故,,nonsense_low,0-20,2,毫无关联,
580,苏轼,抬头,人物,,cross_category_low,0-30,7,二者不搭界,
19,饺子,饺子,美食,,same_answer_exact,95-100,100,完全一样,
788,滥竽充数,复活,成语,,nonsense_low,0-20,2,毫无关联,
746,小幸运,摆臂协调,歌曲,,nonsense_low,0-20,2,毫无关联,
263,斗罗大陆,成长,动漫,,hint_like_high,70-90,50,后者范围较广,
73,麻辣烫,麻辣烫,美食,,same_answer_exact,95-100,100,完全一样,
673,父亲节,哑巴吃黄连,节日,,cross_category_low,0-30,7,二者不搭界,
439,画龙点睛,画地为牢,成语,,same_category_mid,60-70,30,都是成语，但关联度不高,
534,命运之夜,山脊,动漫,,cross_category_low,0-30,2,二者不搭界,
392,石像鬼,狼王,狼人杀,,same_category_mid,60-70,70,都为狼人杀，范围接近,
639,卫星,果汁,宇宙,,cross_category_low,0-30,7,二者不搭界,
349,锦上添花,自相矛盾,成语,,same_category_mid,60-70,20,仅为成语，关联度低,
432,对牛弹琴,掩耳盗铃,成语,,same_category_mid,60-70,30,都是成语，但关联度不高,
72,果汁,果汁,美食,,same_answer_exact,95-100,100,完全一样,
565,生态,圣诞,学科,,cross_category_low,0-30,7,二者不搭界,
492,篆书,篆刻,文化,,same_category_mid,60-70,40,都是历史文化，但关联度不高,
127,杯弓蛇影,恐慌由假,成语,,hint_like_high,70-90,70,意思接近,
13,释然,释然,感情,,same_answer_exact,95-100,100,完全一样,
